LECROYWaveRunneržR,21150,Waveform
Segments,1,SegmentSize,100001
Segment,TrigTime,TimeSinceSegment1
#1,11-May-2022 12:00:53,0                 
Time,Ampl
-0.00010000118,-0.0351519
-9.9999178e-005,-0.0527278
-9.9997178e-005,-0.0878796
-9.9995178e-005,-0.0703037
-9.9993178e-005,-0.0175759
-9.9991178e-005,-0.0351519
-9.9989178e-005,-0.0527278
-9.9987178e-005,-0.0527278
-9.9985178e-005,-0.0351519
-9.9983178e-005,0
-9.9981178e-005,-0.0527278
-9.9979178e-005,-0.0351519
-9.9977178e-005,-0.0175759
-9.9975178e-005,-0.0175759
-9.9973178e-005,-0.0351519
-9.9971178e-005,-0.0175759
-9.9969178e-005,0
-9.9967178e-005,0.0351519
-9.9965178e-005,0
-9.9963178e-005,0
-9.9961178e-005,0.0175759
-9.9959178e-005,0.0351519
-9.9957178e-005,0
-9.9955178e-005,0.0175759
-9.9953178e-005,0.0175759
-9.9951178e-005,0.0527278
-9.9949178e-005,0
-9.9947178e-005,0
-9.9945178e-005,0.0351519
-9.9943178e-005,0.0703037
-9.9941178e-005,0.0527278
-9.9939178e-005,0.0527278
-9.9937178e-005,0.0527278
-9.9935178e-005,0.0703037
-9.9933178e-005,0.0351519
-9.9931178e-005,0.0878796
-9.9929178e-005,0.0703037
-9.9927178e-005,0.0878796
-9.9925178e-005,0.0703037
-9.9923178e-005,0.0878796
-9.9921178e-005,0.0878796
-9.9919178e-005,0.105456
-9.9917178e-005,0.0878796
-9.9915178e-005,0.0878796
-9.9913178e-005,0.0878796
-9.9911178e-005,0.105456
-9.9909178e-005,0.0878796
-9.9907178e-005,0.105456
-9.9905178e-005,0.123031
-9.9903178e-005,0.123031
-9.9901178e-005,0.105456
-9.9899178e-005,0.0878796
-9.9897178e-005,0.123031
-9.9895178e-005,0.123031
-9.9893178e-005,0.140607
-9.9891178e-005,0.123031
-9.9889178e-005,0.140607
-9.9887178e-005,0.140607
-9.9885178e-005,0.123031
-9.9883178e-005,0.123031
-9.9881178e-005,0.158183
-9.9879178e-005,0.175759
-9.9877178e-005,0.158183
-9.9875178e-005,0.140607
-9.9873178e-005,0.175759
-9.9871178e-005,0.193335
-9.9869178e-005,0.175759
-9.9867178e-005,0.158183
-9.9865178e-005,0.193335
-9.9863178e-005,0.193335
-9.9861178e-005,0.193335
-9.9859178e-005,0.193335
-9.9857178e-005,0.193335
-9.9855178e-005,0.193335
-9.9853178e-005,0.210911
-9.9851178e-005,0.210911
-9.9849178e-005,0.210911
-9.9847178e-005,0.193335
-9.9845178e-005,0.193335
-9.9843178e-005,0.193335
-9.9841178e-005,0.210911
-9.9839178e-005,0.228487
-9.9837178e-005,0.193335
-9.9835178e-005,0.210911
-9.9833178e-005,0.263639
-9.9831178e-005,0.246063
-9.9829178e-005,0.228487
-9.9827178e-005,0.228487
-9.9825178e-005,0.263639
-9.9823178e-005,0.228487
-9.9821178e-005,0.228487
-9.9819178e-005,0.228487
-9.9817178e-005,0.263639
-9.9815178e-005,0.263639
-9.9813178e-005,0.228487
-9.9811178e-005,0.246063
-9.9809178e-005,0.298791
-9.9807178e-005,0.263639
-9.9805178e-005,0.263639
-9.9803178e-005,0.263639
-9.9801178e-005,0.298791
-9.9799178e-005,0.298791
-9.9797178e-005,0.263639
-9.9795178e-005,0.281215
-9.9793178e-005,0.298791
-9.9791178e-005,0.281215
-9.9789178e-005,0.263639
-9.9787178e-005,0.281215
-9.9785178e-005,0.298791
-9.9783178e-005,0.298791
-9.9781178e-005,0.281215
-9.9779178e-005,0.316367
-9.9777178e-005,0.298791
-9.9775178e-005,0.316367
-9.9773178e-005,0.263639
-9.9771178e-005,0.316367
-9.9769178e-005,0.316367
-9.9767178e-005,0.316367
-9.9765178e-005,0.298791
-9.9763178e-005,0.333943
-9.9761178e-005,0.333943
-9.9759178e-005,0.351519
-9.9757178e-005,0.298791
-9.9755178e-005,0.316367
-9.9753178e-005,0.316367
-9.9751178e-005,0.333943
-9.9749178e-005,0.316367
-9.9747178e-005,0.333943
-9.9745178e-005,0.351519
-9.9743178e-005,0.351519
-9.9741178e-005,0.333943
-9.9739178e-005,0.316367
-9.9737178e-005,0.316367
-9.9735178e-005,0.333943
-9.9733178e-005,0.333943
-9.9731178e-005,0.333943
-9.9729178e-005,0.369094
-9.9727178e-005,0.351519
-9.9725178e-005,0.316367
-9.9723178e-005,0.316367
-9.9721178e-005,0.369094
-9.9719178e-005,0.351519
-9.9717178e-005,0.333943
-9.9715178e-005,0.333943
-9.9713178e-005,0.333943
-9.9711178e-005,0.351519
-9.9709178e-005,0.351519
-9.9707178e-005,0.351519
-9.9705178e-005,0.38667
-9.9703178e-005,0.369094
-9.9701178e-005,0.369094
-9.9699178e-005,0.333943
-9.9697178e-005,0.369094
-9.9695178e-005,0.369094
-9.9693178e-005,0.333943
-9.9691178e-005,0.333943
-9.9689178e-005,0.38667
-9.9687178e-005,0.369094
-9.9685178e-005,0.351519
-9.9683178e-005,0.333943
-9.9681178e-005,0.351519
-9.9679178e-005,0.369094
-9.9677178e-005,0.333943
-9.9675178e-005,0.351519
-9.9673178e-005,0.351519
-9.9671178e-005,0.369094
-9.9669178e-005,0.351519
-9.9667178e-005,0.333943
-9.9665178e-005,0.351519
-9.9663178e-005,0.38667
-9.9661178e-005,0.351519
-9.9659178e-005,0.369094
