LECROYWaveRunneržR,21150,Waveform
Segments,1,SegmentSize,100001
Segment,TrigTime,TimeSinceSegment1
#1,11-May-2022 12:05:10,0                 
Time,Ampl
-0.00010000125,421.722
-9.9999252e-005,488.14
-9.9997252e-005,421.722
-9.9995252e-005,388.512
-9.9993252e-005,454.931
-9.9991252e-005,454.931
-9.9989252e-005,454.931
-9.9987252e-005,454.931
-9.9985252e-005,488.14
-9.9983252e-005,488.14
-9.9981252e-005,388.512
-9.9979252e-005,421.722
-9.9977252e-005,454.931
-9.9975252e-005,454.931
-9.9973252e-005,454.931
-9.9971252e-005,421.722
-9.9969252e-005,454.931
-9.9967252e-005,488.14
-9.9965252e-005,421.722
-9.9963252e-005,454.931
-9.9961252e-005,488.14
-9.9959252e-005,454.931
-9.9957252e-005,454.931
-9.9955252e-005,421.722
-9.9953252e-005,454.931
-9.9951252e-005,454.931
-9.9949252e-005,454.931
-9.9947252e-005,454.931
-9.9945252e-005,454.931
-9.9943252e-005,421.722
-9.9941252e-005,421.722
-9.9939252e-005,355.303
-9.9937252e-005,388.512
-9.9935252e-005,421.722
-9.9933252e-005,388.512
-9.9931252e-005,355.303
-9.9929252e-005,388.512
-9.9927252e-005,355.303
-9.9925252e-005,388.512
-9.9923252e-005,355.303
-9.9921252e-005,388.512
-9.9919252e-005,388.512
-9.9917252e-005,388.512
-9.9915252e-005,355.303
-9.9913252e-005,388.512
-9.9911252e-005,388.512
-9.9909252e-005,388.512
-9.9907252e-005,355.303
-9.9905252e-005,388.512
-9.9903252e-005,388.512
-9.9901252e-005,388.512
-9.9899252e-005,388.512
-9.9897252e-005,355.303
-9.9895252e-005,388.512
-9.9893252e-005,421.722
-9.9891252e-005,388.512
-9.9889252e-005,355.303
-9.9887252e-005,388.512
-9.9885252e-005,355.303
-9.9883252e-005,355.303
-9.9881252e-005,421.722
-9.9879252e-005,322.094
-9.9877252e-005,388.512
-9.9875252e-005,355.303
-9.9873252e-005,355.303
-9.9871252e-005,388.512
-9.9869252e-005,322.094
-9.9867252e-005,388.512
-9.9865252e-005,355.303
-9.9863252e-005,388.512
-9.9861252e-005,388.512
-9.9859252e-005,355.303
-9.9857252e-005,388.512
-9.9855252e-005,322.094
-9.9853252e-005,355.303
-9.9851252e-005,388.512
-9.9849252e-005,388.512
-9.9847252e-005,322.094
-9.9845252e-005,322.094
-9.9843252e-005,322.094
-9.9841252e-005,322.094
-9.9839252e-005,322.094
-9.9837252e-005,322.094
-9.9835252e-005,322.094
-9.9833252e-005,322.094
-9.9831252e-005,388.512
-9.9829252e-005,355.303
-9.9827252e-005,322.094
-9.9825252e-005,288.884
-9.9823252e-005,322.094
-9.9821252e-005,322.094
-9.9819252e-005,322.094
-9.9817252e-005,288.884
-9.9815252e-005,288.884
-9.9813252e-005,322.094
-9.9811252e-005,288.884
-9.9809252e-005,288.884
-9.9807252e-005,322.094
-9.9805252e-005,288.884
-9.9803252e-005,255.675
-9.9801252e-005,288.884
-9.9799252e-005,288.884
-9.9797252e-005,255.675
-9.9795252e-005,255.675
-9.9793252e-005,255.675
-9.9791252e-005,288.884
-9.9789252e-005,255.675
-9.9787252e-005,255.675
-9.9785252e-005,255.675
-9.9783252e-005,288.884
-9.9781252e-005,255.675
-9.9779252e-005,222.465
-9.9777252e-005,222.465
-9.9775252e-005,222.465
-9.9773252e-005,255.675
-9.9771252e-005,255.675
-9.9769252e-005,222.465
-9.9767252e-005,222.465
-9.9765252e-005,189.256
-9.9763252e-005,189.256
-9.9761252e-005,222.465
-9.9759252e-005,222.465
-9.9757252e-005,189.256
-9.9755252e-005,222.465
-9.9753252e-005,222.465
-9.9751252e-005,189.256
-9.9749252e-005,222.465
-9.9747252e-005,156.047
-9.9745252e-005,189.256
-9.9743252e-005,222.465
-9.9741252e-005,189.256
-9.9739252e-005,156.047
-9.9737252e-005,156.047
-9.9735252e-005,189.256
-9.9733252e-005,156.047
-9.9731252e-005,122.837
-9.9729252e-005,156.047
-9.9727252e-005,89.6281
-9.9725252e-005,122.837
-9.9723252e-005,122.837
-9.9721252e-005,122.837
-9.9719252e-005,89.6281
-9.9717252e-005,122.837
-9.9715252e-005,89.6281
-9.9713252e-005,89.6281
-9.9711252e-005,89.6281
-9.9709252e-005,122.837
-9.9707252e-005,89.6281
-9.9705252e-005,56.4187
-9.9703252e-005,56.4187
-9.9701252e-005,89.6281
-9.9699252e-005,89.6281
-9.9697252e-005,56.4187
-9.9695252e-005,56.4187
-9.9693252e-005,89.6281
-9.9691252e-005,56.4187
-9.9689252e-005,23.2094
-9.9687252e-005,56.4187
-9.9685252e-005,56.4187
-9.9683252e-005,56.4187
-9.9681252e-005,23.2094
-9.9679252e-005,23.2094
-9.9677252e-005,56.4187
-9.9675252e-005,-10
-9.9673252e-005,23.2094
-9.9671252e-005,23.2094
-9.9669252e-005,56.4187
-9.9667252e-005,-10
-9.9665252e-005,-43.2094
-9.9663252e-005,23.2094
-9.9661252e-005,23.2094
-9.9659252e-005,-43.2094
-9.9657252e-005,-43.2094
-9.9655252e-005,-76.4187
-9.9653252e-005,-10
-9.9651252e-005,-76.4187
-9.9649252e-005,-76.4187
-9.9647252e-005,-43.2094
-9.9645252e-005,-43.2094
-9.9643252e-005,-43.2094
-9.9641252e-005,-76.4187
-9.9639252e-005,-43.2094
-9.9637252e-005,-76.4187
-9.9635252e-005,-109.628
-9.9633252e-005,-109.628
-9.9631252e-005,-109.628
-9.9629252e-005,-76.4187
-9.9627252e-005,-109.628
-9.9625252e-005,-76.4187
-9.9623252e-005,-76.4187
-9.9621252e-005,-109.628
-9.9619252e-005,-142.837
-9.9617252e-005,-142.837
-9.9615252e-005,-142.837
-9.9613252e-005,-109.628
-9.9611252e-005,-109.628
-9.9609252e-005,-142.837
-9.9607252e-005,-142.837
-9.9605252e-005,-142.837
-9.9603252e-005,-209.256
-9.9601252e-005,-142.837
-9.9599252e-005,-176.047
-9.9597252e-005,-176.047
-9.9595252e-005,-176.047
-9.9593252e-005,-209.256
-9.9591252e-005,-142.837
-9.9589252e-005,-176.047
-9.9587252e-005,-209.256
-9.9585252e-005,-142.837
-9.9583252e-005,-176.047
-9.9581252e-005,-209.256
-9.9579252e-005,-242.465
-9.9577252e-005,-242.465
-9.9575252e-005,-275.675
-9.9573252e-005,-176.047
-9.9571252e-005,-242.465
-9.9569252e-005,-275.675
-9.9567252e-005,-242.465
-9.9565252e-005,-242.465
-9.9563252e-005,-242.465
-9.9561252e-005,-242.465
-9.9559252e-005,-275.675
-9.9557252e-005,-242.465
-9.9555252e-005,-275.675
-9.9553252e-005,-275.675
-9.9551252e-005,-275.675
-9.9549252e-005,-275.675
-9.9547252e-005,-275.675
-9.9545252e-005,-308.884
-9.9543252e-005,-308.884
-9.9541252e-005,-275.675
-9.9539252e-005,-342.094
-9.9537252e-005,-308.884
-9.9535252e-005,-342.094
-9.9533252e-005,-275.675
-9.9531252e-005,-308.884
-9.9529252e-005,-375.303
-9.9527252e-005,-275.675
-9.9525252e-005,-275.675
-9.9523252e-005,-342.094
-9.9521252e-005,-342.094
-9.9519252e-005,-342.094
-9.9517252e-005,-308.884
-9.9515252e-005,-375.303
-9.9513252e-005,-375.303
-9.9511252e-005,-375.303
-9.9509252e-005,-342.094
-9.9507252e-005,-375.303
-9.9505252e-005,-408.512
-9.9503252e-005,-408.512
-9.9501252e-005,-308.884
-9.9499252e-005,-375.303
-9.9497252e-005,-375.303
-9.9495252e-005,-375.303
-9.9493252e-005,-342.094
-9.9491252e-005,-375.303
-9.9489252e-005,-408.512
-9.9487252e-005,-408.512
-9.9485252e-005,-342.094
-9.9483252e-005,-375.303
-9.9481252e-005,-441.722
-9.9479252e-005,-408.512
-9.9477252e-005,-342.094
-9.9475252e-005,-342.094
-9.9473252e-005,-441.722
-9.9471252e-005,-408.512
-9.9469252e-005,-408.512
-9.9467252e-005,-408.512
-9.9465252e-005,-441.722
-9.9463252e-005,-375.303
-9.9461252e-005,-408.512
-9.9459252e-005,-441.722
-9.9457252e-005,-474.931
-9.9455252e-005,-408.512
-9.9453252e-005,-408.512
-9.9451252e-005,-408.512
-9.9449252e-005,-441.722
-9.9447252e-005,-441.722
-9.9445252e-005,-375.303
-9.9443252e-005,-441.722
-9.9441252e-005,-441.722
-9.9439252e-005,-441.722
-9.9437252e-005,-408.512
-9.9435252e-005,-441.722
-9.9433252e-005,-441.722
-9.9431252e-005,-441.722
-9.9429252e-005,-408.512
-9.9427252e-005,-474.931
-9.9425252e-005,-441.722
-9.9423252e-005,-441.722
-9.9421252e-005,-408.512
-9.9419252e-005,-441.722
-9.9417252e-005,-508.14
-9.9415252e-005,-441.722
-9.9413252e-005,-408.512
-9.9411252e-005,-474.931
-9.9409252e-005,-474.931
-9.9407252e-005,-441.722
-9.9405252e-005,-441.722
-9.9403252e-005,-441.722
-9.9401252e-005,-508.14
-9.9399252e-005,-441.722
-9.9397252e-005,-441.722
-9.9395252e-005,-474.931
-9.9393252e-005,-474.931
-9.9391252e-005,-441.722
-9.9389252e-005,-441.722
-9.9387252e-005,-474.931
-9.9385252e-005,-508.14
-9.9383252e-005,-474.931
-9.9381252e-005,-408.512
-9.9379252e-005,-441.722
-9.9377252e-005,-508.14
-9.9375252e-005,-474.931
-9.9373252e-005,-441.722
-9.9371252e-005,-441.722
-9.9369252e-005,-474.931
-9.9367252e-005,-441.722
-9.9365252e-005,-441.722
-9.9363252e-005,-441.722
-9.9361252e-005,-441.722
-9.9359252e-005,-474.931
-9.9357252e-005,-408.512
-9.9355252e-005,-441.722
-9.9353252e-005,-508.14
-9.9351252e-005,-474.931
-9.9349252e-005,-441.722
-9.9347252e-005,-474.931
-9.9345252e-005,-508.14
-9.9343252e-005,-474.931
-9.9341252e-005,-408.512
-9.9339252e-005,-474.931
-9.9337252e-005,-474.931
-9.9335252e-005,-474.931
-9.9333252e-005,-408.512
-9.9331252e-005,-474.931
-9.9329252e-005,-441.722
-9.9327252e-005,-441.722
-9.9325252e-005,-408.512
-9.9323252e-005,-441.722
-9.9321252e-005,-474.931
-9.9319252e-005,-474.931
-9.9317252e-005,-408.512
-9.9315252e-005,-441.722
-9.9313252e-005,-474.931
-9.9311252e-005,-408.512
-9.9309252e-005,-408.512
-9.9307252e-005,-441.722
-9.9305252e-005,-474.931
-9.9303252e-005,-408.512
-9.9301252e-005,-408.512
-9.9299252e-005,-441.722
-9.9297252e-005,-474.931
-9.9295252e-005,-408.512
-9.9293252e-005,-408.512
-9.9291252e-005,-441.722
-9.9289252e-005,-474.931
-9.9287252e-005,-408.512
-9.9285252e-005,-375.303
-9.9283252e-005,-408.512
-9.9281252e-005,-474.931
-9.9279252e-005,-441.722
-9.9277252e-005,-375.303
-9.9275252e-005,-408.512
-9.9273252e-005,-441.722
-9.9271252e-005,-408.512
-9.9269252e-005,-408.512
-9.9267252e-005,-408.512
-9.9265252e-005,-408.512
-9.9263252e-005,-375.303
-9.9261252e-005,-375.303
-9.9259252e-005,-408.512
-9.9257252e-005,-441.722
-9.9255252e-005,-408.512
-9.9253252e-005,-342.094
-9.9251252e-005,-342.094
-9.9249252e-005,-408.512
-9.9247252e-005,-408.512
-9.9245252e-005,-342.094
-9.9243252e-005,-375.303
-9.9241252e-005,-408.512
-9.9239252e-005,-375.303
-9.9237252e-005,-342.094
-9.9235252e-005,-375.303
-9.9233252e-005,-375.303
-9.9231252e-005,-342.094
-9.9229252e-005,-342.094
-9.9227252e-005,-375.303
-9.9225252e-005,-375.303
-9.9223252e-005,-408.512
-9.9221252e-005,-342.094
-9.9219252e-005,-375.303
-9.9217252e-005,-375.303
-9.9215252e-005,-308.884
-9.9213252e-005,-308.884
-9.9211252e-005,-308.884
-9.9209252e-005,-375.303
-9.9207252e-005,-342.094
-9.9205252e-005,-308.884
