LECROYWaveRunneržR,21150,Waveform
Segments,1,SegmentSize,100001
Segment,TrigTime,TimeSinceSegment1
#1,11-May-2022 11:58:08,0                 
Time,Ampl
-0.00010000085,1052.7
-9.9998852e-005,1019.49
-9.9996852e-005,1052.7
-9.9994852e-005,953.071
-9.9992852e-005,1085.91
-9.9990852e-005,986.281
-9.9988852e-005,953.071
-9.9986852e-005,1019.49
-9.9984852e-005,1052.7
-9.9982852e-005,1052.7
-9.9980852e-005,953.071
-9.9978852e-005,986.281
-9.9976852e-005,1019.49
-9.9974852e-005,986.281
-9.9972852e-005,986.281
-9.9970852e-005,986.281
-9.9968852e-005,953.071
-9.9966852e-005,1019.49
-9.9964852e-005,953.071
-9.9962852e-005,986.281
-9.9960852e-005,986.281
-9.9958852e-005,986.281
-9.9956852e-005,919.862
-9.9954852e-005,953.071
-9.9952852e-005,986.281
-9.9950852e-005,953.071
-9.9948852e-005,953.071
-9.9946852e-005,953.071
-9.9944852e-005,953.071
-9.9942852e-005,919.862
-9.9940852e-005,953.071
-9.9938852e-005,919.862
-9.9936852e-005,953.071
-9.9934852e-005,919.862
-9.9932852e-005,886.652
-9.9930852e-005,919.862
-9.9928852e-005,919.862
-9.9926852e-005,886.652
-9.9924852e-005,886.652
-9.9922852e-005,886.652
-9.9920852e-005,919.862
-9.9918852e-005,853.443
-9.9916852e-005,886.652
-9.9914852e-005,886.652
-9.9912852e-005,853.443
-9.9910852e-005,853.443
-9.9908852e-005,820.234
-9.9906852e-005,820.234
-9.9904852e-005,886.652
-9.9902852e-005,820.234
-9.9900852e-005,820.234
-9.9898852e-005,787.024
-9.9896852e-005,787.024
-9.9894852e-005,787.024
-9.9892852e-005,787.024
-9.9890852e-005,787.024
-9.9888852e-005,787.024
-9.9886852e-005,787.024
-9.9884852e-005,753.815
-9.9882852e-005,753.815
-9.9880852e-005,787.024
-9.9878852e-005,753.815
-9.9876852e-005,720.606
-9.9874852e-005,720.606
-9.9872852e-005,753.815
-9.9870852e-005,720.606
-9.9868852e-005,720.606
-9.9866852e-005,687.396
-9.9864852e-005,687.396
-9.9862852e-005,687.396
-9.9860852e-005,654.187
-9.9858852e-005,620.978
-9.9856852e-005,654.187
-9.9854852e-005,654.187
-9.9852852e-005,654.187
-9.9850852e-005,654.187
-9.9848852e-005,587.768
-9.9846852e-005,554.559
-9.9844852e-005,587.768
-9.9842852e-005,587.768
-9.9840852e-005,554.559
-9.9838852e-005,521.35
-9.9836852e-005,554.559
-9.9834852e-005,521.35
-9.9832852e-005,587.768
-9.9830852e-005,454.931
-9.9828852e-005,488.14
-9.9826852e-005,521.35
-9.9824852e-005,521.35
-9.9822852e-005,454.931
-9.9820852e-005,454.931
-9.9818852e-005,488.14
-9.9816852e-005,521.35
-9.9814852e-005,488.14
-9.9812852e-005,421.722
-9.9810852e-005,421.722
-9.9808852e-005,388.512
-9.9806852e-005,421.722
-9.9804852e-005,421.722
-9.9802852e-005,388.512
-9.9800852e-005,454.931
-9.9798852e-005,388.512
-9.9796852e-005,388.512
-9.9794852e-005,355.303
-9.9792852e-005,388.512
-9.9790852e-005,322.094
-9.9788852e-005,288.884
-9.9786852e-005,355.303
-9.9784852e-005,322.094
-9.9782852e-005,288.884
-9.9780852e-005,322.094
-9.9778852e-005,322.094
-9.9776852e-005,255.675
-9.9774852e-005,288.884
-9.9772852e-005,255.675
-9.9770852e-005,255.675
-9.9768852e-005,222.465
-9.9766852e-005,222.465
-9.9764852e-005,189.256
-9.9762852e-005,189.256
-9.9760852e-005,222.465
-9.9758852e-005,156.047
-9.9756852e-005,189.256
-9.9754852e-005,189.256
-9.9752852e-005,189.256
-9.9750852e-005,156.047
-9.9748852e-005,156.047
-9.9746852e-005,156.047
-9.9744852e-005,89.6281
-9.9742852e-005,122.837
-9.9740852e-005,122.837
-9.9738852e-005,56.4187
-9.9736852e-005,56.4187
-9.9734852e-005,89.6281
-9.9732852e-005,56.4187
-9.9730852e-005,23.2094
-9.9728852e-005,89.6281
-9.9726852e-005,-10
-9.9724852e-005,-10
-9.9722852e-005,-10
-9.9720852e-005,-10
-9.9718852e-005,-10
