LECROYWaveRunneržR,21150,Waveform
Segments,1,SegmentSize,100001
Segment,TrigTime,TimeSinceSegment1
#1,11-May-2022 11:58:08,0                 
Time,Ampl
-0.00010000038,0
-9.9998378e-005,0.0175759
-9.9996378e-005,0
-9.9994378e-005,0
-9.9992378e-005,-0.0175759
-9.9990378e-005,-0.0175759
-9.9988378e-005,-0.0351519
-9.9986378e-005,-0.0175759
-9.9984378e-005,-0.0351519
-9.9982378e-005,-0.0351519
-9.9980378e-005,-0.0175759
-9.9978378e-005,-0.0351519
-9.9976378e-005,-0.0527278
-9.9974378e-005,-0.0351519
-9.9972378e-005,-0.0527278
-9.9970378e-005,-0.0351519
-9.9968378e-005,-0.0703037
-9.9966378e-005,-0.0878796
-9.9964378e-005,-0.0703037
-9.9962378e-005,-0.0703037
-9.9960378e-005,-0.0703037
-9.9958378e-005,-0.0527278
-9.9956378e-005,-0.0527278
-9.9954378e-005,-0.0527278
-9.9952378e-005,-0.0878796
-9.9950378e-005,-0.0878796
-9.9948378e-005,-0.0878796
-9.9946378e-005,-0.0703037
-9.9944378e-005,-0.0878796
-9.9942378e-005,-0.105456
-9.9940378e-005,-0.0878796
-9.9938378e-005,-0.0878796
-9.9936378e-005,-0.105456
-9.9934378e-005,-0.105456
-9.9932378e-005,-0.123031
-9.9930378e-005,-0.105456
-9.9928378e-005,-0.123031
-9.9926378e-005,-0.123031
-9.9924378e-005,-0.140607
-9.9922378e-005,-0.123031
-9.9920378e-005,-0.123031
-9.9918378e-005,-0.140607
-9.9916378e-005,-0.140607
-9.9914378e-005,-0.140607
-9.9912378e-005,-0.175759
-9.9910378e-005,-0.140607
-9.9908378e-005,-0.158183
-9.9906378e-005,-0.140607
-9.9904378e-005,-0.175759
-9.9902378e-005,-0.158183
-9.9900378e-005,-0.175759
-9.9898378e-005,-0.140607
-9.9896378e-005,-0.193335
-9.9894378e-005,-0.193335
-9.9892378e-005,-0.175759
-9.9890378e-005,-0.193335
-9.9888378e-005,-0.193335
-9.9886378e-005,-0.210911
-9.9884378e-005,-0.193335
-9.9882378e-005,-0.175759
-9.9880378e-005,-0.210911
