LECROYWaveRunneržR,21150,Waveform
Segments,1,SegmentSize,100001
Segment,TrigTime,TimeSinceSegment1
#1,11-May-2022 12:02:38,0                 
Time,Ampl
-0.00010000078,0.193335
-9.9998778e-005,0.193335
-9.9996778e-005,0.193335
-9.9994778e-005,0.228487
-9.9992778e-005,0.210911
-9.9990778e-005,0.210911
-9.9988778e-005,0.210911
-9.9986778e-005,0.193335
-9.9984778e-005,0.193335
-9.9982778e-005,0.228487
-9.9980778e-005,0.193335
-9.9978778e-005,0.228487
-9.9976778e-005,0.210911
-9.9974778e-005,0.246063
-9.9972778e-005,0.228487
-9.9970778e-005,0.246063
-9.9968778e-005,0.263639
-9.9966778e-005,0.210911
-9.9964778e-005,0.246063
-9.9962778e-005,0.246063
-9.9960778e-005,0.246063
-9.9958778e-005,0.246063
-9.9956778e-005,0.246063
-9.9954778e-005,0.246063
-9.9952778e-005,0.281215
-9.9950778e-005,0.246063
-9.9948778e-005,0.263639
-9.9946778e-005,0.263639
-9.9944778e-005,0.281215
-9.9942778e-005,0.263639
-9.9940778e-005,0.281215
-9.9938778e-005,0.298791
-9.9936778e-005,0.298791
-9.9934778e-005,0.281215
-9.9932778e-005,0.246063
-9.9930778e-005,0.281215
-9.9928778e-005,0.298791
-9.9926778e-005,0.246063
-9.9924778e-005,0.298791
-9.9922778e-005,0.298791
-9.9920778e-005,0.333943
-9.9918778e-005,0.263639
-9.9916778e-005,0.298791
-9.9914778e-005,0.333943
-9.9912778e-005,0.333943
-9.9910778e-005,0.281215
-9.9908778e-005,0.298791
-9.9906778e-005,0.316367
-9.9904778e-005,0.316367
-9.9902778e-005,0.298791
-9.9900778e-005,0.298791
-9.9898778e-005,0.333943
-9.9896778e-005,0.316367
-9.9894778e-005,0.333943
-9.9892778e-005,0.316367
-9.9890778e-005,0.333943
-9.9888778e-005,0.316367
-9.9886778e-005,0.316367
-9.9884778e-005,0.316367
-9.9882778e-005,0.351519
-9.9880778e-005,0.351519
-9.9878778e-005,0.316367
-9.9876778e-005,0.333943
-9.9874778e-005,0.333943
-9.9872778e-005,0.316367
-9.9870778e-005,0.333943
-9.9868778e-005,0.333943
-9.9866778e-005,0.333943
-9.9864778e-005,0.351519
-9.9862778e-005,0.316367
-9.9860778e-005,0.333943
-9.9858778e-005,0.369094
-9.9856778e-005,0.351519
-9.9854778e-005,0.351519
-9.9852778e-005,0.333943
-9.9850778e-005,0.369094
-9.9848778e-005,0.351519
-9.9846778e-005,0.369094
-9.9844778e-005,0.333943
-9.9842778e-005,0.333943
-9.9840778e-005,0.351519
-9.9838778e-005,0.316367
-9.9836778e-005,0.333943
-9.9834778e-005,0.351519
-9.9832778e-005,0.351519
-9.9830778e-005,0.333943
-9.9828778e-005,0.333943
-9.9826778e-005,0.369094
-9.9824778e-005,0.369094
-9.9822778e-005,0.351519
-9.9820778e-005,0.298791
-9.9818778e-005,0.333943
-9.9816778e-005,0.369094
-9.9814778e-005,0.316367
-9.9812778e-005,0.351519
-9.9810778e-005,0.351519
-9.9808778e-005,0.369094
-9.9806778e-005,0.316367
-9.9804778e-005,0.333943
-9.9802778e-005,0.351519
-9.9800778e-005,0.351519
-9.9798778e-005,0.333943
-9.9796778e-005,0.333943
-9.9794778e-005,0.351519
-9.9792778e-005,0.351519
-9.9790778e-005,0.351519
-9.9788778e-005,0.333943
-9.9786778e-005,0.369094
-9.9784778e-005,0.351519
-9.9782778e-005,0.333943
-9.9780778e-005,0.333943
-9.9778778e-005,0.351519
-9.9776778e-005,0.351519
-9.9774778e-005,0.333943
-9.9772778e-005,0.351519
-9.9770778e-005,0.351519
-9.9768778e-005,0.369094
-9.9766778e-005,0.316367
-9.9764778e-005,0.333943
-9.9762778e-005,0.351519
-9.9760778e-005,0.351519
-9.9758778e-005,0.333943
-9.9756778e-005,0.351519
-9.9754778e-005,0.351519
-9.9752778e-005,0.351519
-9.9750778e-005,0.316367
-9.9748778e-005,0.316367
-9.9746778e-005,0.333943
-9.9744778e-005,0.333943
-9.9742778e-005,0.316367
-9.9740778e-005,0.316367
-9.9738778e-005,0.333943
-9.9736778e-005,0.333943
-9.9734778e-005,0.298791
-9.9732778e-005,0.316367
-9.9730778e-005,0.298791
-9.9728778e-005,0.351519
-9.9726778e-005,0.298791
-9.9724778e-005,0.316367
-9.9722778e-005,0.333943
-9.9720778e-005,0.316367
-9.9718778e-005,0.298791
-9.9716778e-005,0.281215
-9.9714778e-005,0.298791
-9.9712778e-005,0.298791
-9.9710778e-005,0.298791
-9.9708778e-005,0.298791
-9.9706778e-005,0.281215
-9.9704778e-005,0.316367
-9.9702778e-005,0.263639
-9.9700778e-005,0.263639
-9.9698778e-005,0.281215
-9.9696778e-005,0.281215
-9.9694778e-005,0.263639
-9.9692778e-005,0.281215
-9.9690778e-005,0.281215
-9.9688778e-005,0.263639
-9.9686778e-005,0.246063
-9.9684778e-005,0.281215
-9.9682778e-005,0.298791
-9.9680778e-005,0.281215
-9.9678778e-005,0.246063
-9.9676778e-005,0.246063
-9.9674778e-005,0.281215
-9.9672778e-005,0.263639
-9.9670778e-005,0.228487
-9.9668778e-005,0.228487
-9.9666778e-005,0.246063
-9.9664778e-005,0.263639
-9.9662778e-005,0.228487
-9.9660778e-005,0.228487
-9.9658778e-005,0.228487
-9.9656778e-005,0.246063
-9.9654778e-005,0.228487
-9.9652778e-005,0.193335
-9.9650778e-005,0.193335
-9.9648778e-005,0.246063
-9.9646778e-005,0.193335
-9.9644778e-005,0.193335
-9.9642778e-005,0.228487
-9.9640778e-005,0.228487
-9.9638778e-005,0.193335
-9.9636778e-005,0.193335
-9.9634778e-005,0.193335
-9.9632778e-005,0.210911
-9.9630778e-005,0.175759
-9.9628778e-005,0.175759
-9.9626778e-005,0.193335
-9.9624778e-005,0.193335
-9.9622778e-005,0.158183
-9.9620778e-005,0.175759
-9.9618778e-005,0.175759
-9.9616778e-005,0.175759
-9.9614778e-005,0.158183
-9.9612778e-005,0.140607
-9.9610778e-005,0.158183
-9.9608778e-005,0.175759
-9.9606778e-005,0.140607
-9.9604778e-005,0.140607
-9.9602778e-005,0.158183
-9.9600778e-005,0.158183
-9.9598778e-005,0.123031
-9.9596778e-005,0.123031
-9.9594778e-005,0.140607
-9.9592778e-005,0.123031
-9.9590778e-005,0.123031
-9.9588778e-005,0.123031
-9.9586778e-005,0.105456
-9.9584778e-005,0.140607
-9.9582778e-005,0.0703037
-9.9580778e-005,0.0878796
-9.9578778e-005,0.105456
-9.9576778e-005,0.0878796
-9.9574778e-005,0.0878796
-9.9572778e-005,0.0703037
-9.9570778e-005,0.123031
-9.9568778e-005,0.105456
-9.9566778e-005,0.0703037
-9.9564778e-005,0.0703037
-9.9562778e-005,0.0703037
-9.9560778e-005,0.0878796
-9.9558778e-005,0.0351519
-9.9556778e-005,0.0527278
-9.9554778e-005,0.0878796
-9.9552778e-005,0.0703037
-9.9550778e-005,0.0527278
-9.9548778e-005,0.0527278
-9.9546778e-005,0.0527278
-9.9544778e-005,0.0703037
-9.9542778e-005,0.0175759
-9.9540778e-005,0.0175759
-9.9538778e-005,0.0351519
-9.9536778e-005,0.0351519
-9.9534778e-005,-0.0175759
-9.9532778e-005,0.0175759
-9.9530778e-005,0.0175759
-9.9528778e-005,0.0351519
-9.9526778e-005,-0.0175759
-9.9524778e-005,-0.0175759
-9.9522778e-005,-0.0175759
-9.9520778e-005,0.0175759
-9.9518778e-005,-0.0175759
-9.9516778e-005,-0.0175759
-9.9514778e-005,-0.0175759
-9.9512778e-005,0
-9.9510778e-005,-0.0175759
-9.9508778e-005,-0.0175759
-9.9506778e-005,-0.0351519
-9.9504778e-005,-0.0527278
-9.9502778e-005,-0.0527278
-9.9500778e-005,-0.0175759
-9.9498778e-005,-0.0175759
-9.9496778e-005,-0.0527278
-9.9494778e-005,-0.0351519
-9.9492778e-005,-0.0527278
-9.9490778e-005,-0.0527278
-9.9488778e-005,-0.0527278
-9.9486778e-005,-0.0703037
-9.9484778e-005,-0.0703037
-9.9482778e-005,-0.0527278
-9.9480778e-005,-0.0703037
-9.9478778e-005,-0.105456
-9.9476778e-005,-0.0703037
-9.9474778e-005,-0.0703037
-9.9472778e-005,-0.0878796
-9.9470778e-005,-0.123031
-9.9468778e-005,-0.105456
-9.9466778e-005,-0.105456
-9.9464778e-005,-0.0878796
-9.9462778e-005,-0.123031
-9.9460778e-005,-0.123031
-9.9458778e-005,-0.105456
-9.9456778e-005,-0.0878796
-9.9454778e-005,-0.140607
-9.9452778e-005,-0.140607
-9.9450778e-005,-0.140607
-9.9448778e-005,-0.105456
-9.9446778e-005,-0.123031
-9.9444778e-005,-0.123031
-9.9442778e-005,-0.158183
-9.9440778e-005,-0.123031
-9.9438778e-005,-0.140607
-9.9436778e-005,-0.140607
-9.9434778e-005,-0.175759
-9.9432778e-005,-0.140607
-9.9430778e-005,-0.158183
-9.9428778e-005,-0.158183
-9.9426778e-005,-0.158183
-9.9424778e-005,-0.175759
-9.9422778e-005,-0.175759
-9.9420778e-005,-0.158183
-9.9418778e-005,-0.175759
-9.9416778e-005,-0.175759
-9.9414778e-005,-0.175759
-9.9412778e-005,-0.175759
-9.9410778e-005,-0.193335
-9.9408778e-005,-0.193335
-9.9406778e-005,-0.175759
-9.9404778e-005,-0.228487
-9.9402778e-005,-0.210911
-9.9400778e-005,-0.175759
-9.9398778e-005,-0.210911
-9.9396778e-005,-0.210911
-9.9394778e-005,-0.193335
-9.9392778e-005,-0.210911
-9.9390778e-005,-0.228487
-9.9388778e-005,-0.246063
-9.9386778e-005,-0.210911
-9.9384778e-005,-0.210911
-9.9382778e-005,-0.263639
-9.9380778e-005,-0.263639
-9.9378778e-005,-0.263639
-9.9376778e-005,-0.228487
-9.9374778e-005,-0.263639
-9.9372778e-005,-0.246063
-9.9370778e-005,-0.228487
-9.9368778e-005,-0.228487
-9.9366778e-005,-0.263639
-9.9364778e-005,-0.281215
-9.9362778e-005,-0.246063
-9.9360778e-005,-0.228487
-9.9358778e-005,-0.281215
-9.9356778e-005,-0.263639
