LECROYWaveRunneržR,21150,Waveform
Segments,1,SegmentSize,100001
Segment,TrigTime,TimeSinceSegment1
#1,11-May-2022 12:01:21,0                 
Time,Ampl
-0.00010000165,-807.024
-9.9999652e-005,-773.815
-9.9997652e-005,-840.234
-9.9995652e-005,-773.815
-9.9993652e-005,-773.815
-9.9991652e-005,-840.234
-9.9989652e-005,-840.234
-9.9987652e-005,-840.234
-9.9985652e-005,-873.443
-9.9983652e-005,-873.443
-9.9981652e-005,-873.443
-9.9979652e-005,-840.234
-9.9977652e-005,-906.652
-9.9975652e-005,-873.443
-9.9973652e-005,-873.443
-9.9971652e-005,-840.234
-9.9969652e-005,-873.443
-9.9967652e-005,-873.443
-9.9965652e-005,-906.652
-9.9963652e-005,-873.443
-9.9961652e-005,-906.652
-9.9959652e-005,-939.862
-9.9957652e-005,-906.652
-9.9955652e-005,-873.443
-9.9953652e-005,-939.862
-9.9951652e-005,-906.652
-9.9949652e-005,-906.652
-9.9947652e-005,-906.652
-9.9945652e-005,-973.071
-9.9943652e-005,-1006.28
-9.9941652e-005,-1006.28
-9.9939652e-005,-939.862
-9.9937652e-005,-939.862
-9.9935652e-005,-1006.28
-9.9933652e-005,-1006.28
-9.9931652e-005,-906.652
-9.9929652e-005,-1006.28
-9.9927652e-005,-1039.49
-9.9925652e-005,-1006.28
-9.9923652e-005,-939.862
-9.9921652e-005,-973.071
-9.9919652e-005,-973.071
-9.9917652e-005,-1006.28
-9.9915652e-005,-1006.28
-9.9913652e-005,-1039.49
-9.9911652e-005,-1072.7
-9.9909652e-005,-1072.7
-9.9907652e-005,-973.071
-9.9905652e-005,-1039.49
-9.9903652e-005,-1006.28
-9.9901652e-005,-1006.28
-9.9899652e-005,-973.071
-9.9897652e-005,-1006.28
-9.9895652e-005,-1039.49
-9.9893652e-005,-1039.49
-9.9891652e-005,-973.071
-9.9889652e-005,-1006.28
-9.9887652e-005,-1006.28
-9.9885652e-005,-1006.28
-9.9883652e-005,-1006.28
-9.9881652e-005,-1039.49
-9.9879652e-005,-1105.91
-9.9877652e-005,-1072.7
-9.9875652e-005,-1006.28
-9.9873652e-005,-1006.28
-9.9871652e-005,-1072.7
-9.9869652e-005,-1072.7
-9.9867652e-005,-1006.28
-9.9865652e-005,-1006.28
-9.9863652e-005,-1105.91
-9.9861652e-005,-1006.28
-9.9859652e-005,-973.071
-9.9857652e-005,-1072.7
-9.9855652e-005,-1072.7
-9.9853652e-005,-1006.28
-9.9851652e-005,-1006.28
-9.9849652e-005,-1006.28
-9.9847652e-005,-1039.49
-9.9845652e-005,-1039.49
-9.9843652e-005,-1006.28
-9.9841652e-005,-1072.7
-9.9839652e-005,-1039.49
-9.9837652e-005,-1006.28
-9.9835652e-005,-973.071
-9.9833652e-005,-1006.28
-9.9831652e-005,-1072.7
-9.9829652e-005,-1039.49
-9.9827652e-005,-939.862
-9.9825652e-005,-1006.28
-9.9823652e-005,-1039.49
-9.9821652e-005,-1006.28
-9.9819652e-005,-973.071
-9.9817652e-005,-1006.28
-9.9815652e-005,-1006.28
-9.9813652e-005,-973.071
-9.9811652e-005,-906.652
-9.9809652e-005,-973.071
-9.9807652e-005,-1006.28
-9.9805652e-005,-973.071
-9.9803652e-005,-906.652
-9.9801652e-005,-973.071
-9.9799652e-005,-1006.28
-9.9797652e-005,-1006.28
-9.9795652e-005,-873.443
-9.9793652e-005,-939.862
-9.9791652e-005,-939.862
-9.9789652e-005,-939.862
-9.9787652e-005,-906.652
-9.9785652e-005,-939.862
-9.9783652e-005,-939.862
-9.9781652e-005,-873.443
-9.9779652e-005,-906.652
-9.9777652e-005,-906.652
-9.9775652e-005,-873.443
-9.9773652e-005,-906.652
-9.9771652e-005,-873.443
-9.9769652e-005,-873.443
